Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
GUJGASLTD-I550CE,2021-02-26,7.0,7.4,7.0,7.4,2500.0,1250.0
GUJGASLTD-I590CE,2021-02-26,3.05,3.05,3.05,3.05,2500.0,1250.0
GUJGASLTD-I400PE,2021-03-01,2.0,2.0,0.8,0.8,3750.0,2500.0
GUJGASLTD-I500CE,2021-03-01,39.85,48.0,36.15,47.0,11250.0,6250.0
GUJGASLTD-I500PE,2021-03-01,16.0,18.05,15.95,16.0,23750.0,17500.0
GUJGASLTD-I520CE,2021-03-01,31.4,43.2,31.4,43.2,23750.0,10000.0
GUJGASLTD-I540CE,2021-03-01,26.0,34.9,23.45,34.45,50000.0,22500.0
GUJGASLTD-I550CE,2021-03-01,10.0,31.5,10.0,31.4,303750.0,56250.0
GUJGASLTD-I570CE,2021-03-01,9.0,23.2,9.0,22.9,27500.0,7500.0
GUJGASLTD-I590CE,2021-03-01,6.0,15.55,6.0,15.55,12500.0,5000.0
GUJGASLTD-I600CE,2021-03-01,2.9,18.5,2.9,15.75,117500.0,33750.0
GUJGASLTD-I400PE,2021-03-02,0.5,0.8,0.5,0.6,5000.0,3750.0
GUJGASLTD-I450PE,2021-03-02,4.6,4.6,3.1,4.6,5000.0,2500.0
GUJGASLTD-I500CE,2021-03-02,48.7,49.8,46.25,49.8,6250.0,8750.0
GUJGASLTD-I500PE,2021-03-02,13.65,18.0,13.0,13.8,51250.0,28750.0
GUJGASLTD-I520CE,2021-03-02,36.5,45.0,36.45,37.5,17500.0,17500.0
GUJGASLTD-I520PE,2021-03-02,20.5,24.15,20.5,23.45,5000.0,2500.0
GUJGASLTD-I530CE,2021-03-02,32.05,37.0,29.9,29.9,13750.0,6250.0
GUJGASLTD-I540CE,2021-03-02,35.35,35.5,27.55,27.55,101250.0,33750.0
GUJGASLTD-I540PE,2021-03-02,34.55,37.8,34.3,34.5,7500.0,1250.0
GUJGASLTD-I550CE,2021-03-02,36.3,36.3,23.2,26.3,192500.0,66250.0
GUJGASLTD-I550PE,2021-03-02,38.0,44.0,37.0,37.95,11250.0,7500.0
GUJGASLTD-I560CE,2021-03-02,26.15,26.8,19.2,21.85,31250.0,13750.0
GUJGASLTD-I570CE,2021-03-02,25.65,25.75,16.0,18.9,42500.0,18750.0
GUJGASLTD-I590CE,2021-03-02,17.3,17.3,11.85,12.95,15000.0,8750.0
GUJGASLTD-I600CE,2021-03-02,19.0,20.05,10.2,12.2,260000.0,115000.0
GUJGASLTD-I400PE,2021-03-03,0.35,0.35,0.35,0.35,1250.0,6250.0
GUJGASLTD-I450PE,2021-03-03,4.5,4.5,4.5,4.5,1250.0,2500.0
GUJGASLTD-I490PE,2021-03-03,9.55,9.55,9.55,9.55,1250.0,0.0
GUJGASLTD-I500CE,2021-03-03,55.0,60.0,55.0,60.0,2500.0,8750.0
GUJGASLTD-I500PE,2021-03-03,15.0,15.0,8.05,11.35,42500.0,22500.0
GUJGASLTD-I520CE,2021-03-03,47.85,48.5,44.75,47.3,6250.0,13750.0
GUJGASLTD-I520PE,2021-03-03,17.85,17.85,14.8,14.8,5000.0,5000.0
GUJGASLTD-I530CE,2021-03-03,33.8,42.0,33.8,38.3,10000.0,7500.0
GUJGASLTD-I530PE,2021-03-03,22.4,22.4,20.15,21.65,7500.0,1250.0
GUJGASLTD-I540CE,2021-03-03,33.0,41.95,31.0,35.45,116250.0,42500.0
GUJGASLTD-I540PE,2021-03-03,25.4,26.6,25.15,25.15,3750.0,2500.0
GUJGASLTD-I550CE,2021-03-03,25.55,35.95,25.55,32.2,497500.0,90000.0
GUJGASLTD-I550PE,2021-03-03,37.95,37.95,22.2,30.2,21250.0,16250.0
GUJGASLTD-I560CE,2021-03-03,23.85,29.65,22.85,27.55,53750.0,17500.0
GUJGASLTD-I560PE,2021-03-03,37.5,37.5,37.5,37.5,1250.0,0.0
GUJGASLTD-I570CE,2021-03-03,19.95,27.7,17.8,23.5,51250.0,21250.0
GUJGASLTD-I580CE,2021-03-03,18.3,22.15,18.3,20.5,7500.0,0.0
GUJGASLTD-I590CE,2021-03-03,14.0,19.15,14.0,19.15,13750.0,10000.0
GUJGASLTD-I600CE,2021-03-03,11.5,16.3,10.95,14.85,400000.0,96250.0
GUJGASLTD-I620CE,2021-03-03,10.85,10.85,10.85,10.85,1250.0,0.0
GUJGASLTD-I630CE,2021-03-03,8.5,8.5,8.5,8.5,1250.0,0.0
GUJGASLTD-I500PE,2021-03-04,10.05,11.7,10.0,11.0,11250.0,28750.0
GUJGASLTD-I520CE,2021-03-04,44.65,44.65,44.65,44.65,1250.0,13750.0
GUJGASLTD-I520PE,2021-03-04,15.1,15.4,15.0,15.4,5000.0,6250.0
GUJGASLTD-I530PE,2021-03-04,20.2,21.95,20.2,21.95,7500.0,10000.0
GUJGASLTD-I540CE,2021-03-04,32.9,41.9,32.9,37.1,15000.0,28750.0
GUJGASLTD-I550CE,2021-03-04,31.85,35.0,28.0,28.55,182500.0,106250.0
GUJGASLTD-I550PE,2021-03-04,31.9,31.9,31.75,31.75,2500.0,21250.0
GUJGASLTD-I560CE,2021-03-04,25.45,30.7,23.2,24.8,56250.0,35000.0
GUJGASLTD-I560PE,2021-03-04,36.1,37.45,36.1,37.45,2500.0,2500.0
GUJGASLTD-I570CE,2021-03-04,24.65,26.7,20.45,20.45,42500.0,26250.0
GUJGASLTD-I580CE,2021-03-04,19.55,22.6,16.0,16.0,33750.0,18750.0
GUJGASLTD-I590CE,2021-03-04,12.75,18.7,12.75,16.5,35000.0,30000.0
GUJGASLTD-I600CE,2021-03-04,12.95,16.2,11.5,11.75,158750.0,110000.0
GUJGASLTD-I620CE,2021-03-04,11.0,11.0,11.0,11.0,1250.0,1250.0
GUJGASLTD-I650CE,2021-03-04,6.0,6.0,6.0,6.0,1250.0,0.0
GUJGASLTD-I400PE,2021-03-05,0.6,0.9,0.6,0.9,3750.0,6250.0
GUJGASLTD-I450PE,2021-03-05,4.1,4.1,4.1,4.1,1250.0,1250.0
GUJGASLTD-I500PE,2021-03-05,12.0,17.85,12.0,16.0,17500.0,27500.0
GUJGASLTD-I520PE,2021-03-05,26.4,26.4,26.4,26.4,1250.0,7500.0
GUJGASLTD-I530PE,2021-03-05,20.6,32.4,19.25,29.7,6250.0,6250.0
GUJGASLTD-I540CE,2021-03-05,34.6,37.2,24.0,24.45,22500.0,33750.0
GUJGASLTD-I540PE,2021-03-05,23.85,23.85,23.85,23.85,1250.0,2500.0
GUJGASLTD-I550CE,2021-03-05,31.0,33.0,18.4,22.05,130000.0,120000.0
GUJGASLTD-I550PE,2021-03-05,26.35,26.35,26.35,26.35,1250.0,21250.0
GUJGASLTD-I560CE,2021-03-05,27.2,28.7,16.55,18.9,78750.0,62500.0
GUJGASLTD-I560PE,2021-03-05,35.15,35.15,35.15,35.15,1250.0,2500.0
GUJGASLTD-I570CE,2021-03-05,21.95,23.4,14.1,17.55,15000.0,27500.0
GUJGASLTD-I580CE,2021-03-05,19.9,20.1,11.05,13.0,40000.0,26250.0
GUJGASLTD-I590CE,2021-03-05,16.4,16.4,11.1,12.05,12500.0,30000.0
GUJGASLTD-I600CE,2021-03-05,14.4,14.4,8.05,8.05,87500.0,113750.0
GUJGASLTD-I650CE,2021-03-05,3.0,3.0,3.0,3.0,1250.0,1250.0
GUJGASLTD-I400PE,2021-03-08,0.9,0.9,0.3,0.3,2500.0,6250.0
GUJGASLTD-I500PE,2021-03-08,10.8,11.45,9.1,10.25,18750.0,26250.0
GUJGASLTD-I520CE,2021-03-08,45.35,45.35,42.15,42.15,2500.0,13750.0
GUJGASLTD-I520PE,2021-03-08,18.95,19.0,15.85,16.5,7500.0,7500.0
GUJGASLTD-I530PE,2021-03-08,23.2,23.45,23.2,23.45,2500.0,7500.0
GUJGASLTD-I540CE,2021-03-08,28.45,34.05,25.8,28.95,13750.0,41250.0
GUJGASLTD-I550CE,2021-03-08,23.45,28.85,21.8,23.7,148750.0,115000.0
GUJGASLTD-I550PE,2021-03-08,33.65,33.7,33.65,33.7,2500.0,21250.0
GUJGASLTD-I560CE,2021-03-08,19.35,24.55,16.9,18.2,26250.0,61250.0
GUJGASLTD-I560PE,2021-03-08,41.35,41.35,41.35,41.35,1250.0,1250.0
GUJGASLTD-I570CE,2021-03-08,22.8,22.8,15.85,16.9,11250.0,25000.0
GUJGASLTD-I580CE,2021-03-08,15.45,17.25,13.9,13.9,12500.0,25000.0
GUJGASLTD-I590CE,2021-03-08,12.0,13.05,6.05,11.55,16250.0,23750.0
GUJGASLTD-I600CE,2021-03-08,9.45,11.9,7.65,9.0,96250.0,120000.0
GUJGASLTD-I620CE,2021-03-08,5.55,5.8,5.55,5.8,2500.0,1250.0
GUJGASLTD-I490PE,2021-03-09,7.5,7.5,7.5,7.5,1250.0,1250.0
GUJGASLTD-I500PE,2021-03-09,10.65,14.6,9.85,14.6,13750.0,28750.0
GUJGASLTD-I520CE,2021-03-09,38.0,38.0,38.0,38.0,1250.0,13750.0
GUJGASLTD-I520PE,2021-03-09,21.3,21.3,21.3,21.3,1250.0,7500.0
GUJGASLTD-I540CE,2021-03-09,28.0,30.0,20.2,30.0,32500.0,41250.0
GUJGASLTD-I550CE,2021-03-09,21.65,25.0,15.45,25.0,111250.0,110000.0
GUJGASLTD-I550PE,2021-03-09,30.9,31.1,27.4,27.4,13750.0,26250.0
GUJGASLTD-I560CE,2021-03-09,17.2,19.0,13.25,18.9,31250.0,60000.0
GUJGASLTD-I570CE,2021-03-09,15.9,15.95,10.75,13.65,16250.0,27500.0
GUJGASLTD-I580CE,2021-03-09,12.85,12.95,7.6,11.1,12500.0,27500.0
GUJGASLTD-I590CE,2021-03-09,10.65,10.75,5.05,7.9,10000.0,25000.0
GUJGASLTD-I600CE,2021-03-09,8.85,8.85,5.5,8.25,38750.0,132500.0
GUJGASLTD-I490PE,2021-03-10,7.5,7.5,7.5,7.5,1250.0,2500.0
GUJGASLTD-I500PE,2021-03-10,9.95,10.5,9.2,9.7,15000.0,35000.0
GUJGASLTD-I520PE,2021-03-10,15.15,16.9,15.15,15.95,3750.0,8750.0
GUJGASLTD-I530CE,2021-03-10,30.35,30.35,25.1,26.8,5000.0,7500.0
GUJGASLTD-I540CE,2021-03-10,30.0,30.0,21.45,21.45,57500.0,51250.0
GUJGASLTD-I540PE,2021-03-10,17.95,25.95,17.95,25.9,6250.0,3750.0
GUJGASLTD-I550CE,2021-03-10,26.0,26.5,17.1,18.05,283750.0,218750.0
GUJGASLTD-I550PE,2021-03-10,29.45,31.25,29.45,30.35,3750.0,26250.0
GUJGASLTD-I560CE,2021-03-10,20.55,20.55,14.0,14.0,42500.0,58750.0
GUJGASLTD-I570CE,2021-03-10,14.25,14.25,11.3,11.65,8750.0,27500.0
GUJGASLTD-I580CE,2021-03-10,11.5,11.5,9.15,9.85,6250.0,26250.0
GUJGASLTD-I590CE,2021-03-10,9.85,9.85,6.9,6.9,11250.0,26250.0
GUJGASLTD-I600CE,2021-03-10,9.45,9.5,5.0,5.5,50000.0,133750.0
GUJGASLTD-I620CE,2021-03-10,3.0,3.0,3.0,3.0,2500.0,5000.0
GUJGASLTD-I400PE,2021-03-12,0.15,0.4,0.15,0.4,3750.0,6250.0
GUJGASLTD-I490PE,2021-03-12,7.5,7.5,7.5,7.5,1250.0,3750.0
GUJGASLTD-I500CE,2021-03-12,35.95,35.95,35.95,35.95,1250.0,8750.0
GUJGASLTD-I500PE,2021-03-12,6.6,8.4,6.6,8.4,12500.0,38750.0
GUJGASLTD-I520CE,2021-03-12,22.3,22.3,22.3,22.3,2500.0,13750.0
GUJGASLTD-I520PE,2021-03-12,14.75,15.0,14.75,15.0,3750.0,8750.0
GUJGASLTD-I530CE,2021-03-12,29.0,29.0,16.0,17.0,26250.0,23750.0
GUJGASLTD-I530PE,2021-03-12,22.8,22.8,22.8,22.8,1250.0,8750.0
GUJGASLTD-I540CE,2021-03-12,32.55,32.55,13.3,14.0,61250.0,67500.0
GUJGASLTD-I540PE,2021-03-12,21.95,21.95,21.95,21.95,1250.0,2500.0
GUJGASLTD-I550CE,2021-03-12,19.05,21.15,10.2,10.5,295000.0,222500.0
GUJGASLTD-I550PE,2021-03-12,41.45,41.45,41.45,41.45,1250.0,26250.0
GUJGASLTD-I560CE,2021-03-12,23.55,23.55,8.45,8.6,68750.0,61250.0
GUJGASLTD-I570CE,2021-03-12,16.15,16.15,6.9,6.9,12500.0,28750.0
GUJGASLTD-I580CE,2021-03-12,9.95,9.95,5.05,5.05,6250.0,31250.0
GUJGASLTD-I590CE,2021-03-12,8.15,9.55,4.45,4.45,7500.0,20000.0
GUJGASLTD-I600CE,2021-03-12,5.5,6.45,2.8,2.8,53750.0,146250.0
GUJGASLTD-I400PE,2021-03-15,0.15,0.15,0.15,0.15,1250.0,6250.0
GUJGASLTD-I450PE,2021-03-15,3.0,3.0,3.0,3.0,1250.0,2500.0
GUJGASLTD-I460PE,2021-03-15,3.0,3.0,3.0,3.0,1250.0,0.0
GUJGASLTD-I480PE,2021-03-15,4.2,9.5,4.2,9.5,7500.0,2500.0
GUJGASLTD-I490PE,2021-03-15,10.9,10.9,10.9,10.9,1250.0,5000.0
GUJGASLTD-I500CE,2021-03-15,25.0,25.0,20.0,21.75,25000.0,22500.0
GUJGASLTD-I500PE,2021-03-15,14.5,18.5,11.0,13.25,33750.0,46250.0
GUJGASLTD-I520CE,2021-03-15,17.0,17.0,2.75,2.75,18750.0,20000.0
GUJGASLTD-I520PE,2021-03-15,25.0,25.0,21.5,21.5,2500.0,8750.0
GUJGASLTD-I530CE,2021-03-15,19.35,19.35,10.0,11.3,71250.0,23750.0
GUJGASLTD-I540CE,2021-03-15,12.85,13.65,7.6,8.8,30000.0,61250.0
GUJGASLTD-I540PE,2021-03-15,38.55,38.55,38.55,38.55,1250.0,3750.0
GUJGASLTD-I550CE,2021-03-15,10.25,11.15,5.3,6.55,251250.0,226250.0
GUJGASLTD-I550PE,2021-03-15,48.45,48.45,46.0,46.0,3750.0,26250.0
GUJGASLTD-I560CE,2021-03-15,7.05,7.55,3.95,4.9,56250.0,43750.0
GUJGASLTD-I570CE,2021-03-15,6.5,8.95,3.65,5.1,13750.0,32500.0
GUJGASLTD-I580CE,2021-03-15,4.55,4.55,1.75,3.0,11250.0,30000.0
GUJGASLTD-I590CE,2021-03-15,2.0,2.5,2.0,2.5,2500.0,18750.0
GUJGASLTD-I600CE,2021-03-15,3.0,3.0,1.4,1.85,42500.0,130000.0
GUJGASLTD-I450PE,2021-03-16,1.0,1.0,0.5,0.5,2500.0,2500.0
GUJGASLTD-I460PE,2021-03-16,2.0,2.0,2.0,2.0,1250.0,1250.0
GUJGASLTD-I480PE,2021-03-16,4.1,4.3,2.6,2.6,16250.0,7500.0
GUJGASLTD-I490PE,2021-03-16,6.5,6.5,3.1,3.1,3750.0,5000.0
GUJGASLTD-I500CE,2021-03-16,29.0,32.7,29.0,32.7,2500.0,21250.0
GUJGASLTD-I500PE,2021-03-16,10.5,10.5,5.5,5.5,30000.0,40000.0
GUJGASLTD-I510PE,2021-03-16,9.85,9.85,8.75,8.75,2500.0,1250.0
GUJGASLTD-I520CE,2021-03-16,18.0,30.0,18.0,30.0,16250.0,16250.0
GUJGASLTD-I520PE,2021-03-16,12.7,12.7,11.85,11.85,2500.0,7500.0
GUJGASLTD-I530CE,2021-03-16,9.8,23.5,9.8,23.5,57500.0,23750.0
GUJGASLTD-I540CE,2021-03-16,9.45,19.0,8.6,18.0,83750.0,55000.0
GUJGASLTD-I540PE,2021-03-16,24.35,24.35,24.35,24.35,1250.0,2500.0
GUJGASLTD-I550CE,2021-03-16,7.3,14.75,5.5,14.75,292500.0,177500.0
GUJGASLTD-I560CE,2021-03-16,4.85,10.2,4.85,10.1,45000.0,47500.0
GUJGASLTD-I570CE,2021-03-16,6.55,7.5,6.55,7.5,13750.0,36250.0
GUJGASLTD-I580CE,2021-03-16,5.8,5.8,5.0,5.45,11250.0,27500.0
GUJGASLTD-I600CE,2021-03-16,1.05,3.0,1.05,2.95,70000.0,127500.0
GUJGASLTD-I480PE,2021-03-17,4.65,4.65,4.65,4.65,1250.0,6250.0
GUJGASLTD-I490PE,2021-03-17,2.4,3.1,2.4,3.1,2500.0,5000.0
GUJGASLTD-I500CE,2021-03-17,47.3,47.3,29.1,29.1,6250.0,21250.0
GUJGASLTD-I500PE,2021-03-17,4.4,9.95,2.55,7.05,72500.0,56250.0
GUJGASLTD-I510PE,2021-03-17,8.75,12.95,4.5,12.9,15000.0,3750.0
GUJGASLTD-I520CE,2021-03-17,31.75,31.75,16.95,16.95,13750.0,11250.0
GUJGASLTD-I520PE,2021-03-17,6.6,17.3,6.05,17.3,28750.0,13750.0
GUJGASLTD-I530CE,2021-03-17,24.3,33.25,10.25,13.9,31250.0,20000.0
GUJGASLTD-I530PE,2021-03-17,11.1,23.85,11.1,23.85,3750.0,8750.0
GUJGASLTD-I540CE,2021-03-17,21.35,26.8,6.9,8.75,252500.0,70000.0
GUJGASLTD-I540PE,2021-03-17,14.0,31.0,14.0,29.1,11250.0,5000.0
GUJGASLTD-I550CE,2021-03-17,14.35,21.0,4.75,5.9,908750.0,222500.0
GUJGASLTD-I550PE,2021-03-17,18.9,35.65,12.0,35.65,6250.0,26250.0
GUJGASLTD-I560CE,2021-03-17,10.2,16.9,3.65,3.75,683750.0,95000.0
GUJGASLTD-I560PE,2021-03-17,24.8,29.6,24.8,29.6,2500.0,2500.0
GUJGASLTD-I570CE,2021-03-17,8.0,14.0,2.65,4.45,258750.0,62500.0
GUJGASLTD-I580CE,2021-03-17,6.35,10.2,2.25,3.0,72500.0,33750.0
GUJGASLTD-I590CE,2021-03-17,6.4,7.75,2.15,2.15,21250.0,18750.0
GUJGASLTD-I600CE,2021-03-17,3.0,5.8,1.35,1.85,216250.0,150000.0
GUJGASLTD-I620CE,2021-03-17,0.95,0.95,0.7,0.7,2500.0,5000.0
GUJGASLTD-I630CE,2021-03-17,3.25,3.25,3.25,3.25,1250.0,1250.0
GUJGASLTD-I650CE,2021-03-17,3.0,3.0,2.65,2.65,2500.0,1250.0
GUJGASLTD-I400PE,2021-03-18,0.2,0.2,0.2,0.2,1250.0,6250.0
GUJGASLTD-I450PE,2021-03-18,2.9,2.9,2.9,2.9,1250.0,2500.0
GUJGASLTD-I490PE,2021-03-18,4.4,4.4,4.4,4.4,1250.0,6250.0
GUJGASLTD-I500CE,2021-03-18,24.0,24.0,17.1,17.1,3750.0,23750.0
GUJGASLTD-I500PE,2021-03-18,4.35,9.15,4.0,4.8,43750.0,47500.0
GUJGASLTD-I510PE,2021-03-18,7.0,13.55,7.0,11.0,10000.0,11250.0
GUJGASLTD-I520CE,2021-03-18,12.65,14.0,7.9,14.0,36250.0,22500.0
GUJGASLTD-I520PE,2021-03-18,14.75,15.75,14.25,15.75,5000.0,13750.0
GUJGASLTD-I530CE,2021-03-18,13.9,13.9,4.75,8.9,36250.0,28750.0
GUJGASLTD-I530PE,2021-03-18,24.8,24.8,24.8,24.8,1250.0,8750.0
GUJGASLTD-I540CE,2021-03-18,10.55,10.55,3.95,5.4,96250.0,75000.0
GUJGASLTD-I540PE,2021-03-18,29.5,29.5,29.5,29.5,1250.0,2500.0
GUJGASLTD-I550CE,2021-03-18,7.1,7.3,3.0,5.2,146250.0,198750.0
GUJGASLTD-I550PE,2021-03-18,32.4,37.7,32.4,37.7,3750.0,28750.0
GUJGASLTD-I560CE,2021-03-18,5.95,5.95,1.85,2.85,72500.0,81250.0
GUJGASLTD-I570CE,2021-03-18,3.85,3.85,0.85,1.75,45000.0,51250.0
GUJGASLTD-I580CE,2021-03-18,3.0,3.0,1.35,1.35,11250.0,32500.0
GUJGASLTD-I600CE,2021-03-18,2.0,2.05,1.0,1.0,51250.0,140000.0
GUJGASLTD-I480PE,2021-03-19,0.3,0.3,0.3,0.3,1250.0,6250.0
GUJGASLTD-I490PE,2021-03-19,5.8,12.0,2.65,2.65,10000.0,6250.0
GUJGASLTD-I500CE,2021-03-19,17.7,25.45,13.0,25.45,12500.0,28750.0
GUJGASLTD-I500PE,2021-03-19,8.5,10.05,3.55,3.55,32500.0,51250.0
GUJGASLTD-I510CE,2021-03-19,11.4,17.0,11.4,17.0,5000.0,3750.0
GUJGASLTD-I510PE,2021-03-19,12.25,12.25,4.7,4.7,3750.0,10000.0
GUJGASLTD-I520CE,2021-03-19,8.0,9.5,6.0,9.5,62500.0,37500.0
GUJGASLTD-I520PE,2021-03-19,19.1,19.1,18.0,18.0,3750.0,15000.0
GUJGASLTD-I530CE,2021-03-19,4.55,6.5,3.5,6.5,36250.0,30000.0
GUJGASLTD-I530PE,2021-03-19,27.2,27.2,25.55,25.55,2500.0,7500.0
GUJGASLTD-I540CE,2021-03-19,5.4,5.4,1.95,4.5,52500.0,62500.0
GUJGASLTD-I550CE,2021-03-19,3.05,4.3,2.0,3.0,153750.0,171250.0
GUJGASLTD-I550PE,2021-03-19,48.0,48.0,40.5,43.05,5000.0,28750.0
GUJGASLTD-I560CE,2021-03-19,1.8,3.0,1.6,3.0,40000.0,66250.0
GUJGASLTD-I570CE,2021-03-19,1.05,2.5,0.6,2.0,22500.0,43750.0
GUJGASLTD-I580CE,2021-03-19,1.0,1.9,1.0,1.85,8750.0,30000.0
GUJGASLTD-I590CE,2021-03-19,1.65,1.65,1.0,1.6,7500.0,15000.0
GUJGASLTD-I600CE,2021-03-19,0.9,3.55,0.6,0.95,113750.0,142500.0
GUJGASLTD-I620CE,2021-03-19,0.45,0.45,0.45,0.45,1250.0,5000.0
GUJGASLTD-I480PE,2021-03-22,0.2,0.2,0.2,0.2,1250.0,6250.0
GUJGASLTD-I490PE,2021-03-22,1.0,2.2,1.0,1.95,12500.0,6250.0
GUJGASLTD-I500CE,2021-03-22,18.0,19.0,18.0,19.0,2500.0,31250.0
GUJGASLTD-I500PE,2021-03-22,3.45,3.7,3.15,3.25,12500.0,51250.0
GUJGASLTD-I510CE,2021-03-22,8.0,8.0,8.0,8.0,1250.0,2500.0
GUJGASLTD-I510PE,2021-03-22,6.2,7.0,6.2,7.0,6250.0,10000.0
GUJGASLTD-I520CE,2021-03-22,9.1,9.1,5.05,7.0,17500.0,26250.0
GUJGASLTD-I520PE,2021-03-22,11.6,13.8,10.45,13.8,11250.0,15000.0
GUJGASLTD-I530CE,2021-03-22,4.3,4.3,2.55,3.2,11250.0,30000.0
GUJGASLTD-I540CE,2021-03-22,5.4,5.4,1.65,1.65,11250.0,63750.0
GUJGASLTD-I550CE,2021-03-22,3.6,4.0,1.1,1.8,58750.0,165000.0
GUJGASLTD-I550PE,2021-03-22,38.05,38.05,38.05,38.05,1250.0,26250.0
GUJGASLTD-I560CE,2021-03-22,3.4,3.4,1.45,1.65,32500.0,51250.0
GUJGASLTD-I570CE,2021-03-22,1.55,1.7,0.9,0.95,20000.0,37500.0
GUJGASLTD-I580CE,2021-03-22,1.85,1.85,0.75,0.8,7500.0,28750.0
GUJGASLTD-I590CE,2021-03-22,0.75,0.75,0.7,0.7,2500.0,15000.0
GUJGASLTD-I600CE,2021-03-22,0.7,0.8,0.5,0.8,17500.0,136250.0
GUJGASLTD-I620CE,2021-03-22,0.2,0.2,0.2,0.2,1250.0,5000.0
GUJGASLTD-I630CE,2021-03-22,0.05,0.05,0.05,0.05,1250.0,1250.0
GUJGASLTD-I450PE,2021-03-23,0.05,0.05,0.05,0.05,1250.0,2500.0
GUJGASLTD-I480PE,2021-03-23,0.75,0.75,0.35,0.35,2500.0,5000.0
GUJGASLTD-I490PE,2021-03-23,0.85,0.85,0.85,0.85,1250.0,6250.0
GUJGASLTD-I500CE,2021-03-23,18.0,22.0,18.0,22.0,21250.0,30000.0
GUJGASLTD-I500PE,2021-03-23,4.4,4.5,0.65,1.2,25000.0,40000.0
GUJGASLTD-I510CE,2021-03-23,11.3,13.55,9.65,12.0,8750.0,6250.0
GUJGASLTD-I510PE,2021-03-23,5.0,5.0,3.5,5.0,3750.0,8750.0
GUJGASLTD-I520CE,2021-03-23,5.2,6.95,3.15,5.3,33750.0,30000.0
GUJGASLTD-I520PE,2021-03-23,7.5,8.55,6.25,6.25,6250.0,16250.0
GUJGASLTD-I530CE,2021-03-23,1.7,4.25,1.7,2.25,38750.0,30000.0
GUJGASLTD-I530PE,2021-03-23,20.9,20.9,20.45,20.45,2500.0,6250.0
GUJGASLTD-I540CE,2021-03-23,2.0,3.3,1.6,1.75,47500.0,50000.0
GUJGASLTD-I540PE,2021-03-23,30.3,30.3,30.3,30.3,1250.0,3750.0
GUJGASLTD-I550CE,2021-03-23,1.6,3.0,1.2,1.2,96250.0,130000.0
GUJGASLTD-I550PE,2021-03-23,39.0,39.0,35.0,35.0,20000.0,17500.0
GUJGASLTD-I560CE,2021-03-23,0.8,1.55,0.75,0.75,18750.0,38750.0
GUJGASLTD-I570CE,2021-03-23,1.0,1.0,0.45,0.9,11250.0,35000.0
GUJGASLTD-I580CE,2021-03-23,0.75,0.75,0.55,0.55,5000.0,25000.0
GUJGASLTD-I600CE,2021-03-23,0.6,0.6,0.35,0.4,32500.0,121250.0
GUJGASLTD-I650CE,2021-03-23,0.25,0.25,0.25,0.25,1250.0,2500.0
GUJGASLTD-I480PE,2021-03-24,0.15,0.15,0.15,0.15,1250.0,5000.0
GUJGASLTD-I490PE,2021-03-24,0.7,0.7,0.2,0.25,241250.0,8750.0
GUJGASLTD-I500CE,2021-03-24,11.0,17.1,10.75,13.6,8750.0,16250.0
GUJGASLTD-I500PE,2021-03-24,2.2,2.5,0.4,2.0,20000.0,32500.0
GUJGASLTD-I510CE,2021-03-24,6.0,10.0,5.05,10.0,13750.0,7500.0
GUJGASLTD-I520CE,2021-03-24,1.5,5.75,1.5,4.75,35000.0,20000.0
GUJGASLTD-I520PE,2021-03-24,16.35,16.35,8.1,8.1,6250.0,16250.0
GUJGASLTD-I530CE,2021-03-24,1.75,2.25,1.25,1.25,27500.0,12500.0
GUJGASLTD-I540CE,2021-03-24,1.5,1.5,0.5,0.5,45000.0,32500.0
GUJGASLTD-I540PE,2021-03-24,26.5,26.5,26.5,26.5,1250.0,3750.0
GUJGASLTD-I550CE,2021-03-24,0.75,0.75,0.3,0.5,45000.0,93750.0
GUJGASLTD-I550PE,2021-03-24,37.95,37.95,37.1,37.1,2500.0,13750.0
GUJGASLTD-I560CE,2021-03-24,0.1,1.7,0.1,0.25,22500.0,30000.0
GUJGASLTD-I570CE,2021-03-24,0.2,0.25,0.2,0.25,6250.0,32500.0
GUJGASLTD-I580CE,2021-03-24,0.15,0.15,0.15,0.15,3750.0,23750.0
GUJGASLTD-I590CE,2021-03-24,0.2,0.8,0.2,0.4,6250.0,15000.0
GUJGASLTD-I600CE,2021-03-24,0.65,0.65,0.15,0.15,42500.0,100000.0
GUJGASLTD-I620CE,2021-03-24,0.15,0.15,0.15,0.15,1250.0,5000.0
GUJGASLTD-I630CE,2021-03-24,0.1,0.1,0.1,0.1,1250.0,1250.0
GUJGASLTD-I650CE,2021-03-24,0.05,0.05,0.05,0.05,1250.0,2500.0
GUJGASLTD-I480PE,2021-03-25,0.1,0.1,0.1,0.1,1250.0,5000.0
GUJGASLTD-I490PE,2021-03-25,1.75,1.8,0.05,0.15,206250.0,3750.0
GUJGASLTD-I500PE,2021-03-25,2.35,5.5,0.1,0.7,22500.0,20000.0
GUJGASLTD-I510CE,2021-03-25,1.7,5.0,1.6,2.0,11250.0,7500.0
GUJGASLTD-I510PE,2021-03-25,11.55,14.0,0.05,0.5,10000.0,6250.0
GUJGASLTD-I520CE,2021-03-25,1.5,1.85,0.05,0.05,116250.0,11250.0
GUJGASLTD-I520PE,2021-03-25,17.0,17.05,13.6,13.6,11250.0,6250.0
