Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
JINDALSTEL-I130PE,2019-01-01,0.65,0.65,0.65,0.65,4500.0,78750.0
JINDALSTEL-I135PE,2019-01-01,1.0,1.0,1.0,1.0,2250.0,15750.0
JINDALSTEL-I140PE,2019-01-01,1.7,1.8,1.45,1.6,132750.0,162000.0
JINDALSTEL-I150CE,2019-01-01,18.2,18.2,16.7,16.7,22500.0,148500.0
JINDALSTEL-I150PE,2019-01-01,2.95,3.85,2.95,3.4,470250.0,351000.0
JINDALSTEL-I155PE,2019-01-01,4.9,5.45,4.7,4.85,155250.0,33750.0
JINDALSTEL-I160CE,2019-01-01,10.65,10.95,9.5,10.0,238500.0,207000.0
JINDALSTEL-I160PE,2019-01-01,6.05,7.6,6.05,6.6,749250.0,288000.0
JINDALSTEL-I165CE,2019-01-01,9.05,9.1,7.15,7.7,328500.0,186750.0
JINDALSTEL-I165PE,2019-01-01,9.1,9.9,9.0,9.0,22500.0,29250.0
JINDALSTEL-I170CE,2019-01-01,6.9,6.95,5.1,5.7,1095750.0,812250.0
JINDALSTEL-I170PE,2019-01-01,11.9,13.05,11.9,11.95,128250.0,931500.0
JINDALSTEL-I175CE,2019-01-01,4.9,4.9,3.7,4.2,240750.0,74250.0
JINDALSTEL-I180CE,2019-01-01,3.7,3.7,2.6,2.9,1057500.0,1179000.0
JINDALSTEL-I180PE,2019-01-01,19.8,19.8,19.8,19.8,2250.0,164250.0
JINDALSTEL-I185CE,2019-01-01,2.0,2.0,1.9,1.9,11250.0,20250.0
JINDALSTEL-I190CE,2019-01-01,1.7,1.7,1.25,1.45,166500.0,346500.0
JINDALSTEL-I195CE,2019-01-01,1.1,1.1,0.8,0.8,4500.0,2250.0
JINDALSTEL-I200CE,2019-01-01,0.8,0.85,0.65,0.7,184500.0,378000.0
JINDALSTEL-I210CE,2019-01-01,0.4,0.4,0.35,0.35,13500.0,38250.0
JINDALSTEL-I220CE,2019-01-01,0.35,0.35,0.3,0.3,4500.0,38250.0
JINDALSTEL-I130PE,2019-01-02,0.9,1.1,0.8,1.1,22500.0,96750.0
JINDALSTEL-I135PE,2019-01-02,1.6,1.6,1.5,1.6,9000.0,24750.0
JINDALSTEL-I140CE,2019-01-02,21.5,21.8,19.75,19.75,6750.0,4500.0
JINDALSTEL-I140PE,2019-01-02,2.0,2.95,2.0,2.2,391500.0,202500.0
JINDALSTEL-I145CE,2019-01-02,17.5,17.5,17.5,17.5,2250.0,0.0
JINDALSTEL-I145PE,2019-01-02,3.0,3.8,3.0,3.55,29250.0,11250.0
JINDALSTEL-I150CE,2019-01-02,14.95,14.95,12.3,12.3,105750.0,150750.0
JINDALSTEL-I150PE,2019-01-02,4.4,5.85,4.05,5.25,1302750.0,477000.0
JINDALSTEL-I155CE,2019-01-02,10.3,11.05,9.7,9.7,31500.0,15750.0
JINDALSTEL-I155PE,2019-01-02,6.2,7.85,6.0,7.6,650250.0,83250.0
JINDALSTEL-I160CE,2019-01-02,8.4,9.0,7.2,7.2,1593000.0,351000.0
JINDALSTEL-I160PE,2019-01-02,8.05,10.35,7.95,10.35,1100250.0,301500.0
JINDALSTEL-I165CE,2019-01-02,6.3,6.65,5.3,5.3,542250.0,207000.0
JINDALSTEL-I165PE,2019-01-02,11.1,13.3,10.55,13.3,72000.0,29250.0
JINDALSTEL-I170CE,2019-01-02,4.8,5.0,3.8,3.85,2495250.0,951750.0
JINDALSTEL-I170PE,2019-01-02,14.45,16.0,13.75,16.0,157500.0,933750.0
JINDALSTEL-I175CE,2019-01-02,3.65,3.65,2.7,2.7,380250.0,81000.0
JINDALSTEL-I180CE,2019-01-02,2.35,2.55,1.75,1.9,2200500.0,1806750.0
JINDALSTEL-I180PE,2019-01-02,21.3,24.55,21.3,24.55,11250.0,164250.0
JINDALSTEL-I185CE,2019-01-02,1.7,1.7,1.25,1.25,18000.0,22500.0
JINDALSTEL-I185PE,2019-01-02,26.95,26.95,26.95,26.95,2250.0,0.0
JINDALSTEL-I190CE,2019-01-02,1.0,1.25,0.85,0.9,256500.0,357750.0
JINDALSTEL-I190PE,2019-01-02,31.5,31.7,31.35,31.7,6750.0,13500.0
JINDALSTEL-I195CE,2019-01-02,0.7,0.7,0.7,0.7,2250.0,4500.0
JINDALSTEL-I200CE,2019-01-02,0.6,0.7,0.45,0.45,182250.0,389250.0
JINDALSTEL-I200PE,2019-01-02,41.25,41.25,41.25,41.25,4500.0,58500.0
JINDALSTEL-I210CE,2019-01-02,0.35,0.35,0.25,0.25,9000.0,45000.0
JINDALSTEL-I260PE,2019-01-02,99.85,99.85,99.85,99.85,4500.0,346500.0
JINDALSTEL-I110PE,2019-01-03,0.8,0.8,0.8,0.8,2250.0,0.0
JINDALSTEL-I120PE,2019-01-03,0.4,1.35,0.4,1.35,45000.0,76500.0
JINDALSTEL-I130PE,2019-01-03,1.9,2.8,0.95,2.8,749250.0,333000.0
JINDALSTEL-I135PE,2019-01-03,2.6,4.1,1.8,3.9,186750.0,74250.0
JINDALSTEL-I140CE,2019-01-03,19.3,19.3,12.35,12.9,252000.0,128250.0
JINDALSTEL-I140PE,2019-01-03,2.75,5.75,2.7,5.65,1649250.0,328500.0
JINDALSTEL-I145CE,2019-01-03,15.55,15.55,9.7,9.85,33750.0,27000.0
JINDALSTEL-I145PE,2019-01-03,4.15,7.8,3.8,7.7,432000.0,78750.0
JINDALSTEL-I150CE,2019-01-03,11.9,12.4,6.8,7.6,1370250.0,441000.0
JINDALSTEL-I150PE,2019-01-03,5.7,10.65,5.25,10.35,2283750.0,411750.0
JINDALSTEL-I155CE,2019-01-03,9.2,9.55,5.0,5.6,513000.0,153000.0
JINDALSTEL-I155PE,2019-01-03,8.05,13.3,7.4,12.85,474750.0,47250.0
JINDALSTEL-I160CE,2019-01-03,7.3,7.3,3.5,4.1,2713500.0,969750.0
JINDALSTEL-I160PE,2019-01-03,10.25,16.95,9.7,16.7,648000.0,317250.0
JINDALSTEL-I165CE,2019-01-03,5.3,5.3,2.55,3.0,1170000.0,389250.0
JINDALSTEL-I165PE,2019-01-03,13.7,20.8,13.7,20.8,18000.0,20250.0
JINDALSTEL-I170CE,2019-01-03,4.2,4.2,1.7,2.05,2803500.0,1469250.0
JINDALSTEL-I170PE,2019-01-03,17.25,25.0,16.5,24.75,108000.0,929250.0
JINDALSTEL-I175CE,2019-01-03,2.55,2.55,1.05,1.4,344250.0,159750.0
JINDALSTEL-I175PE,2019-01-03,29.0,29.0,29.0,29.0,2250.0,0.0
JINDALSTEL-I180CE,2019-01-03,1.65,1.7,0.75,0.95,1514250.0,1509750.0
JINDALSTEL-I180PE,2019-01-03,24.9,31.05,24.9,31.05,121500.0,108000.0
JINDALSTEL-I185CE,2019-01-03,0.95,0.95,0.55,0.55,15750.0,24750.0
JINDALSTEL-I190CE,2019-01-03,1.0,1.0,0.45,0.45,351000.0,315000.0
JINDALSTEL-I190PE,2019-01-03,36.55,38.0,36.55,38.0,4500.0,13500.0
JINDALSTEL-I200CE,2019-01-03,0.4,0.4,0.25,0.3,117000.0,409500.0
JINDALSTEL-I230CE,2019-01-03,0.1,0.1,0.1,0.1,4500.0,11250.0
JINDALSTEL-I110PE,2019-01-04,0.8,0.8,0.8,0.8,2250.0,2250.0
JINDALSTEL-I120PE,2019-01-04,1.25,1.25,0.7,0.7,18000.0,76500.0
JINDALSTEL-I125PE,2019-01-04,2.5,2.5,1.4,1.4,4500.0,2250.0
JINDALSTEL-I130CE,2019-01-04,20.95,21.0,20.45,20.45,9000.0,6750.0
JINDALSTEL-I130PE,2019-01-04,2.45,2.95,1.2,1.35,549000.0,355500.0
JINDALSTEL-I135CE,2019-01-04,15.0,21.0,15.0,20.8,63000.0,49500.0
JINDALSTEL-I135PE,2019-01-04,3.45,4.25,1.9,2.0,279000.0,85500.0
JINDALSTEL-I140CE,2019-01-04,13.05,17.25,11.55,17.25,193500.0,175500.0
JINDALSTEL-I140PE,2019-01-04,4.5,5.95,2.7,2.7,1876500.0,387000.0
JINDALSTEL-I145CE,2019-01-04,10.5,12.7,8.95,12.7,119250.0,36000.0
JINDALSTEL-I145PE,2019-01-04,6.75,8.1,4.0,4.0,769500.0,117000.0
JINDALSTEL-I150CE,2019-01-04,8.05,10.65,6.45,10.65,3152250.0,375750.0
JINDALSTEL-I150PE,2019-01-04,8.9,10.85,5.7,5.8,1350000.0,452250.0
JINDALSTEL-I155CE,2019-01-04,6.1,7.7,4.75,7.65,1008000.0,189000.0
JINDALSTEL-I155PE,2019-01-04,13.05,13.1,8.05,8.05,63000.0,49500.0
JINDALSTEL-I160CE,2019-01-04,4.5,5.7,3.4,5.5,4351500.0,954000.0
JINDALSTEL-I160PE,2019-01-04,15.1,17.45,10.85,11.25,198000.0,326250.0
JINDALSTEL-I165CE,2019-01-04,3.15,3.9,2.4,3.9,744750.0,366750.0
JINDALSTEL-I165PE,2019-01-04,18.65,19.05,14.8,14.8,15750.0,18000.0
JINDALSTEL-I170CE,2019-01-04,2.3,2.85,1.6,2.85,2099250.0,1361250.0
JINDALSTEL-I170PE,2019-01-04,23.8,25.8,21.3,21.3,42750.0,922500.0
JINDALSTEL-I175CE,2019-01-04,1.35,1.55,1.0,1.55,168750.0,182250.0
JINDALSTEL-I175PE,2019-01-04,27.45,27.45,27.45,27.45,4500.0,2250.0
JINDALSTEL-I180CE,2019-01-04,0.95,1.25,0.65,1.25,1336500.0,1431000.0
JINDALSTEL-I180PE,2019-01-04,33.65,33.65,27.0,27.0,27000.0,92250.0
JINDALSTEL-I185CE,2019-01-04,0.55,0.55,0.55,0.55,2250.0,24750.0
JINDALSTEL-I190CE,2019-01-04,0.5,0.85,0.45,0.65,285750.0,346500.0
JINDALSTEL-I200CE,2019-01-04,0.35,0.35,0.25,0.35,38250.0,429750.0
JINDALSTEL-I230CE,2019-01-04,0.2,0.2,0.2,0.2,2250.0,11250.0
JINDALSTEL-I120PE,2019-01-07,0.65,0.65,0.65,0.65,2250.0,74250.0
JINDALSTEL-I130PE,2019-01-07,1.0,1.3,0.85,1.3,162000.0,317250.0
JINDALSTEL-I135CE,2019-01-07,21.4,21.4,21.4,21.4,9000.0,47250.0
JINDALSTEL-I135PE,2019-01-07,1.05,1.9,1.05,1.9,18000.0,74250.0
JINDALSTEL-I140CE,2019-01-07,18.35,18.75,15.75,15.95,144000.0,175500.0
JINDALSTEL-I140PE,2019-01-07,2.6,3.15,1.9,3.1,684000.0,423000.0
JINDALSTEL-I145CE,2019-01-07,14.0,15.0,12.4,12.4,11250.0,24750.0
JINDALSTEL-I145PE,2019-01-07,4.0,4.85,3.1,4.85,195750.0,94500.0
JINDALSTEL-I150CE,2019-01-07,11.25,12.3,8.75,8.75,522000.0,342000.0
JINDALSTEL-I150PE,2019-01-07,5.2,6.9,4.5,6.7,1215000.0,454500.0
JINDALSTEL-I155CE,2019-01-07,8.55,9.25,6.35,6.8,353250.0,162000.0
JINDALSTEL-I155PE,2019-01-07,7.05,9.2,6.5,9.2,119250.0,63000.0
JINDALSTEL-I160CE,2019-01-07,6.4,7.0,4.35,4.6,1995750.0,1068750.0
JINDALSTEL-I160PE,2019-01-07,9.75,12.3,8.95,12.3,303750.0,427500.0
JINDALSTEL-I165CE,2019-01-07,4.3,4.75,3.05,3.15,508500.0,360000.0
JINDALSTEL-I165PE,2019-01-07,13.0,13.8,13.0,13.8,4500.0,20250.0
JINDALSTEL-I170CE,2019-01-07,3.65,3.65,2.05,2.15,1390500.0,1372500.0
JINDALSTEL-I170PE,2019-01-07,16.8,19.1,16.05,19.0,69750.0,927000.0
JINDALSTEL-I175CE,2019-01-07,2.25,2.7,1.45,1.45,155250.0,191250.0
JINDALSTEL-I180CE,2019-01-07,1.35,1.5,0.85,0.9,375750.0,1496250.0
JINDALSTEL-I180PE,2019-01-07,25.1,26.1,24.7,25.5,33750.0,101250.0
JINDALSTEL-I190CE,2019-01-07,0.7,0.9,0.45,0.45,211500.0,416250.0
JINDALSTEL-I190PE,2019-01-07,35.5,35.5,35.5,35.5,2250.0,15750.0
JINDALSTEL-I195CE,2019-01-07,0.4,0.4,0.4,0.4,2250.0,6750.0
JINDALSTEL-I200CE,2019-01-07,0.3,0.35,0.25,0.25,22500.0,432000.0
JINDALSTEL-I210CE,2019-01-07,0.25,0.25,0.25,0.25,9000.0,40500.0
JINDALSTEL-I220CE,2019-01-07,0.2,0.2,0.2,0.2,4500.0,38250.0
JINDALSTEL-I130PE,2019-01-08,0.85,1.15,0.5,0.5,94500.0,310500.0
JINDALSTEL-I135PE,2019-01-08,1.7,1.7,1.0,1.0,13500.0,72000.0
JINDALSTEL-I140CE,2019-01-08,16.95,20.95,16.1,20.95,60750.0,177750.0
JINDALSTEL-I140PE,2019-01-08,3.35,3.35,1.65,1.7,501750.0,405000.0
JINDALSTEL-I145CE,2019-01-08,14.95,16.45,14.95,16.45,4500.0,24750.0
JINDALSTEL-I145PE,2019-01-08,4.5,4.5,2.5,2.55,72000.0,105750.0
JINDALSTEL-I150CE,2019-01-08,8.45,12.8,8.45,12.5,447750.0,292500.0
JINDALSTEL-I150PE,2019-01-08,6.75,6.8,3.8,3.95,762750.0,429750.0
JINDALSTEL-I155CE,2019-01-08,6.45,9.45,6.1,9.3,697500.0,213750.0
JINDALSTEL-I155PE,2019-01-08,8.55,8.55,5.5,5.65,162000.0,96750.0
JINDALSTEL-I160CE,2019-01-08,4.75,6.9,4.25,6.75,1937250.0,868500.0
JINDALSTEL-I160PE,2019-01-08,11.05,11.1,7.85,8.1,344250.0,353250.0
JINDALSTEL-I165CE,2019-01-08,2.95,4.8,2.9,4.7,400500.0,371250.0
JINDALSTEL-I165PE,2019-01-08,10.75,10.75,10.75,10.75,2250.0,18000.0
JINDALSTEL-I170CE,2019-01-08,2.0,3.35,2.0,3.35,1152000.0,1320750.0
JINDALSTEL-I170PE,2019-01-08,17.4,18.1,14.7,14.7,33750.0,931500.0
JINDALSTEL-I175CE,2019-01-08,1.45,2.2,1.45,2.05,81000.0,200250.0
JINDALSTEL-I175PE,2019-01-08,18.3,18.3,18.3,18.3,2250.0,4500.0
JINDALSTEL-I180CE,2019-01-08,0.8,1.5,0.7,1.45,609750.0,1550250.0
JINDALSTEL-I180PE,2019-01-08,26.4,26.8,23.6,23.6,81000.0,90000.0
JINDALSTEL-I190CE,2019-01-08,0.5,0.85,0.45,0.75,191250.0,393750.0
JINDALSTEL-I200CE,2019-01-08,0.3,0.35,0.3,0.35,60750.0,436500.0
JINDALSTEL-I130CE,2019-01-09,23.8,23.8,23.8,23.8,2250.0,9000.0
JINDALSTEL-I130PE,2019-01-09,0.6,1.5,0.6,1.1,256500.0,335250.0
JINDALSTEL-I135PE,2019-01-09,1.5,2.35,1.5,1.85,49500.0,74250.0
JINDALSTEL-I140CE,2019-01-09,19.25,19.25,13.4,14.85,193500.0,274500.0
JINDALSTEL-I140PE,2019-01-09,1.65,3.65,1.65,2.75,1534500.0,499500.0
JINDALSTEL-I145CE,2019-01-09,13.85,13.85,10.4,10.8,15750.0,22500.0
JINDALSTEL-I145PE,2019-01-09,2.9,5.4,2.9,4.35,504000.0,148500.0
JINDALSTEL-I150CE,2019-01-09,12.9,12.9,7.5,8.6,906750.0,389250.0
JINDALSTEL-I150PE,2019-01-09,3.75,7.75,3.75,6.1,2180250.0,495000.0
JINDALSTEL-I155CE,2019-01-09,9.55,9.55,5.4,6.35,850500.0,472500.0
JINDALSTEL-I155PE,2019-01-09,5.05,10.3,5.05,8.7,308250.0,78750.0
JINDALSTEL-I160CE,2019-01-09,6.8,7.2,3.65,4.25,3222000.0,1302750.0
JINDALSTEL-I160PE,2019-01-09,8.2,13.5,8.2,11.6,303750.0,387000.0
JINDALSTEL-I165CE,2019-01-09,4.8,4.9,2.35,2.9,992250.0,380250.0
JINDALSTEL-I165PE,2019-01-09,10.95,10.95,10.95,10.95,2250.0,20250.0
JINDALSTEL-I170CE,2019-01-09,3.35,3.5,1.55,1.85,1845000.0,1656000.0
JINDALSTEL-I170PE,2019-01-09,19.2,19.2,19.2,19.2,2250.0,927000.0
JINDALSTEL-I175CE,2019-01-09,2.25,2.25,1.0,1.15,148500.0,240750.0
JINDALSTEL-I180CE,2019-01-09,1.45,1.45,0.65,0.75,675000.0,1487250.0
JINDALSTEL-I180PE,2019-01-09,22.95,28.15,22.95,28.15,4500.0,90000.0
JINDALSTEL-I185CE,2019-01-09,0.6,0.6,0.6,0.6,4500.0,22500.0
JINDALSTEL-I190CE,2019-01-09,0.8,0.8,0.35,0.4,229500.0,447750.0
JINDALSTEL-I200CE,2019-01-09,0.35,0.35,0.2,0.2,58500.0,450000.0
JINDALSTEL-I130PE,2019-01-10,1.4,1.8,1.0,1.1,38250.0,337500.0
JINDALSTEL-I135CE,2019-01-10,17.5,17.5,16.7,16.7,38250.0,9000.0
JINDALSTEL-I135PE,2019-01-10,2.0,2.25,1.7,1.95,63000.0,90000.0
JINDALSTEL-I140CE,2019-01-10,15.5,15.85,13.3,13.95,49500.0,272250.0
JINDALSTEL-I140PE,2019-01-10,2.65,3.75,2.6,3.05,769500.0,522000.0
JINDALSTEL-I145CE,2019-01-10,12.0,12.0,9.95,9.95,20250.0,29250.0
JINDALSTEL-I145PE,2019-01-10,4.15,5.6,4.1,4.9,213750.0,126000.0
JINDALSTEL-I150CE,2019-01-10,9.0,9.5,6.95,7.6,1044000.0,486000.0
JINDALSTEL-I150PE,2019-01-10,6.1,7.75,5.6,6.85,891000.0,558000.0
JINDALSTEL-I155CE,2019-01-10,6.5,6.8,5.2,5.45,783000.0,549000.0
JINDALSTEL-I155PE,2019-01-10,8.15,10.1,8.05,9.65,148500.0,76500.0
JINDALSTEL-I160CE,2019-01-10,4.25,4.65,3.35,3.75,1874250.0,1638000.0
JINDALSTEL-I160PE,2019-01-10,11.0,13.4,10.8,13.1,65250.0,384750.0
JINDALSTEL-I165CE,2019-01-10,2.9,3.15,2.2,2.55,486000.0,445500.0
JINDALSTEL-I165PE,2019-01-10,14.85,16.5,14.65,16.5,15750.0,15750.0
JINDALSTEL-I170CE,2019-01-10,1.75,2.0,1.4,1.55,717750.0,1730250.0
JINDALSTEL-I170PE,2019-01-10,18.15,21.55,18.15,20.65,18000.0,924750.0
JINDALSTEL-I175CE,2019-01-10,1.2,1.2,0.9,0.95,65250.0,249750.0
JINDALSTEL-I180CE,2019-01-10,0.8,0.85,0.55,0.6,211500.0,1471500.0
JINDALSTEL-I185CE,2019-01-10,0.5,0.5,0.45,0.5,11250.0,20250.0
JINDALSTEL-I190CE,2019-01-10,0.35,0.4,0.3,0.35,24750.0,456750.0
JINDALSTEL-I200CE,2019-01-10,0.2,0.25,0.2,0.2,31500.0,454500.0
JINDALSTEL-I120PE,2019-01-11,0.4,0.4,0.35,0.4,6750.0,74250.0
JINDALSTEL-I130PE,2019-01-11,1.1,1.4,0.8,1.3,114750.0,348750.0
JINDALSTEL-I135PE,2019-01-11,2.05,2.2,1.6,2.15,108000.0,92250.0
JINDALSTEL-I140CE,2019-01-11,14.25,14.45,12.35,12.6,33750.0,272250.0
JINDALSTEL-I140PE,2019-01-11,2.75,3.65,2.3,3.45,499500.0,573750.0
JINDALSTEL-I145CE,2019-01-11,9.05,9.05,9.05,9.05,4500.0,29250.0
JINDALSTEL-I145PE,2019-01-11,4.35,5.4,3.65,4.8,148500.0,128250.0
JINDALSTEL-I150CE,2019-01-11,8.0,8.5,6.45,6.65,1019250.0,607500.0
JINDALSTEL-I150PE,2019-01-11,6.4,7.85,5.45,7.45,659250.0,558000.0
JINDALSTEL-I155CE,2019-01-11,5.75,6.1,4.4,4.55,612000.0,643500.0
JINDALSTEL-I155PE,2019-01-11,9.25,10.5,7.95,10.2,51750.0,74250.0
JINDALSTEL-I160CE,2019-01-11,3.95,4.25,2.9,2.95,1788750.0,1881000.0
JINDALSTEL-I160PE,2019-01-11,12.0,13.7,11.05,13.7,51750.0,389250.0
JINDALSTEL-I165CE,2019-01-11,2.7,2.7,1.8,1.8,378000.0,472500.0
JINDALSTEL-I170CE,2019-01-11,1.6,1.75,1.1,1.2,666000.0,1802250.0
JINDALSTEL-I170PE,2019-01-11,20.05,20.1,20.05,20.1,4500.0,927000.0
JINDALSTEL-I175CE,2019-01-11,1.15,1.15,0.75,0.75,36000.0,238500.0
JINDALSTEL-I180CE,2019-01-11,0.65,0.65,0.45,0.5,328500.0,1354500.0
JINDALSTEL-I190CE,2019-01-11,0.3,0.3,0.25,0.25,240750.0,389250.0
JINDALSTEL-I200CE,2019-01-11,0.2,0.2,0.2,0.2,2250.0,443250.0
JINDALSTEL-I220CE,2019-01-11,0.1,0.1,0.1,0.1,2250.0,38250.0
JINDALSTEL-I130CE,2019-01-14,16.45,16.45,16.45,16.45,2250.0,11250.0
JINDALSTEL-I130PE,2019-01-14,1.7,1.9,1.3,1.55,333000.0,427500.0
JINDALSTEL-I135PE,2019-01-14,2.5,3.15,2.25,2.65,319500.0,137250.0
JINDALSTEL-I140CE,2019-01-14,10.9,10.9,8.7,9.0,495000.0,420750.0
JINDALSTEL-I140PE,2019-01-14,4.1,5.05,3.75,4.4,1185750.0,549000.0
JINDALSTEL-I145CE,2019-01-14,7.6,7.7,6.25,6.5,353250.0,191250.0
JINDALSTEL-I145PE,2019-01-14,5.7,7.4,5.7,6.6,445500.0,177750.0
JINDALSTEL-I150CE,2019-01-14,6.0,6.1,4.2,4.4,2547000.0,1028250.0
JINDALSTEL-I150PE,2019-01-14,8.45,10.4,8.1,9.2,650250.0,468000.0
JINDALSTEL-I155CE,2019-01-14,4.05,4.05,2.75,2.85,936000.0,686250.0
JINDALSTEL-I155PE,2019-01-14,11.85,13.7,11.5,12.9,40500.0,72000.0
JINDALSTEL-I160CE,2019-01-14,2.55,2.7,1.75,1.85,1746000.0,2076750.0
JINDALSTEL-I160PE,2019-01-14,15.7,16.9,15.0,16.9,63000.0,375750.0
JINDALSTEL-I165CE,2019-01-14,1.55,1.55,1.05,1.2,283500.0,508500.0
JINDALSTEL-I165PE,2019-01-14,20.2,21.4,20.2,21.4,4500.0,13500.0
JINDALSTEL-I170CE,2019-01-14,1.0,1.0,0.7,0.8,870750.0,1899000.0
JINDALSTEL-I170PE,2019-01-14,23.7,26.75,23.7,25.3,189000.0,787500.0
JINDALSTEL-I175CE,2019-01-14,0.75,0.75,0.45,0.55,213750.0,171000.0
JINDALSTEL-I180CE,2019-01-14,0.4,0.4,0.3,0.35,270000.0,1309500.0
JINDALSTEL-I190CE,2019-01-14,0.15,0.25,0.15,0.25,18000.0,380250.0
JINDALSTEL-I190PE,2019-01-14,44.55,45.7,44.55,45.7,4500.0,15750.0
JINDALSTEL-I195CE,2019-01-14,0.1,0.1,0.1,0.1,2250.0,6750.0
JINDALSTEL-I200CE,2019-01-14,0.15,0.2,0.15,0.15,38250.0,438750.0
JINDALSTEL-I210CE,2019-01-14,0.2,0.2,0.1,0.1,9000.0,47250.0
JINDALSTEL-I120PE,2019-01-15,0.35,0.4,0.35,0.4,4500.0,76500.0
JINDALSTEL-I130PE,2019-01-15,1.7,1.7,0.75,1.0,432000.0,405000.0
JINDALSTEL-I135CE,2019-01-15,14.4,14.4,14.4,14.4,2250.0,9000.0
JINDALSTEL-I135PE,2019-01-15,2.65,2.8,1.35,1.35,416250.0,211500.0
JINDALSTEL-I140CE,2019-01-15,8.35,11.0,8.1,10.6,339750.0,378000.0
JINDALSTEL-I140PE,2019-01-15,4.45,4.6,2.9,2.9,884250.0,607500.0
JINDALSTEL-I145CE,2019-01-15,6.2,7.9,5.6,7.6,706500.0,139500.0
JINDALSTEL-I145PE,2019-01-15,6.6,7.05,4.75,4.75,333000.0,171000.0
JINDALSTEL-I150CE,2019-01-15,4.5,5.45,3.75,5.1,3354750.0,1152000.0
JINDALSTEL-I150PE,2019-01-15,9.4,10.0,7.15,7.25,261000.0,405000.0
JINDALSTEL-I155CE,2019-01-15,2.95,3.55,2.4,3.35,1298250.0,837000.0
JINDALSTEL-I155PE,2019-01-15,12.45,12.7,10.4,10.4,11250.0,69750.0
JINDALSTEL-I160CE,2019-01-15,1.95,2.2,1.45,2.05,2387250.0,2304000.0
JINDALSTEL-I160PE,2019-01-15,16.5,17.55,14.5,14.75,31500.0,373500.0
JINDALSTEL-I165CE,2019-01-15,1.2,1.3,0.9,1.2,182250.0,508500.0
JINDALSTEL-I165PE,2019-01-15,22.0,22.0,18.05,18.05,4500.0,11250.0
JINDALSTEL-I170CE,2019-01-15,0.9,0.9,0.6,0.75,706500.0,1890000.0
JINDALSTEL-I170PE,2019-01-15,26.8,26.8,22.2,22.2,9000.0,780750.0
JINDALSTEL-I175CE,2019-01-15,0.55,0.55,0.4,0.55,101250.0,159750.0
JINDALSTEL-I175PE,2019-01-15,31.45,31.45,30.4,30.4,4500.0,2250.0
JINDALSTEL-I180CE,2019-01-15,0.35,0.4,0.3,0.4,222750.0,1316250.0
JINDALSTEL-I190CE,2019-01-15,0.25,0.25,0.2,0.2,83250.0,405000.0
JINDALSTEL-I200CE,2019-01-15,0.15,0.15,0.15,0.15,9000.0,438750.0
JINDALSTEL-I210CE,2019-01-15,0.1,0.1,0.1,0.1,2250.0,42750.0
JINDALSTEL-I130PE,2019-01-16,1.0,1.1,0.7,0.9,119250.0,405000.0
JINDALSTEL-I135PE,2019-01-16,1.55,1.85,1.55,1.6,38250.0,180000.0
JINDALSTEL-I140CE,2019-01-16,10.6,11.25,9.85,10.05,65250.0,373500.0
JINDALSTEL-I140PE,2019-01-16,2.55,3.25,2.3,2.85,558000.0,632250.0
JINDALSTEL-I145CE,2019-01-16,7.6,8.3,6.75,7.1,110250.0,132750.0
JINDALSTEL-I145PE,2019-01-16,4.7,5.2,4.0,4.6,204750.0,171000.0
JINDALSTEL-I150CE,2019-01-16,5.25,5.7,4.4,4.8,1388250.0,1147500.0
JINDALSTEL-I150PE,2019-01-16,6.5,7.75,6.25,7.15,121500.0,387000.0
JINDALSTEL-I155CE,2019-01-16,3.5,3.65,2.75,3.0,441000.0,787500.0
JINDALSTEL-I160CE,2019-01-16,2.25,2.4,1.7,1.8,1138500.0,2250000.0
JINDALSTEL-I160PE,2019-01-16,13.55,14.5,13.55,14.5,6750.0,366750.0
JINDALSTEL-I165CE,2019-01-16,1.2,1.3,1.0,1.05,132750.0,522000.0
JINDALSTEL-I165PE,2019-01-16,19.0,19.0,18.3,18.3,4500.0,9000.0
JINDALSTEL-I170CE,2019-01-16,0.8,0.85,0.6,0.6,245250.0,1869750.0
JINDALSTEL-I170PE,2019-01-16,23.8,23.8,22.8,22.8,4500.0,780750.0
JINDALSTEL-I175CE,2019-01-16,0.55,0.6,0.4,0.45,63000.0,168750.0
JINDALSTEL-I180CE,2019-01-16,0.35,0.4,0.3,0.35,96750.0,1311750.0
JINDALSTEL-I180PE,2019-01-16,32.55,32.6,32.55,32.6,4500.0,87750.0
JINDALSTEL-I190CE,2019-01-16,0.15,0.2,0.15,0.2,15750.0,389250.0
JINDALSTEL-I200CE,2019-01-16,0.2,0.2,0.15,0.15,6750.0,425250.0
JINDALSTEL-I200PE,2019-01-16,53.5,53.5,53.5,53.5,4500.0,54000.0
JINDALSTEL-I130CE,2019-01-17,17.5,17.5,16.4,16.4,4500.0,9000.0
JINDALSTEL-I130PE,2019-01-17,0.75,1.25,0.75,0.8,189000.0,411750.0
JINDALSTEL-I135PE,2019-01-17,1.4,2.1,1.4,1.8,76500.0,173250.0
JINDALSTEL-I140CE,2019-01-17,10.9,10.9,8.75,9.95,63000.0,371250.0
JINDALSTEL-I140PE,2019-01-17,2.35,3.7,2.35,3.2,639000.0,636750.0
JINDALSTEL-I145CE,2019-01-17,7.85,7.85,6.3,6.3,936000.0,276750.0
